Event	ID	Name			Wwise Object Path	Notes
	643486511	Footsteps_Start			\Default Work Unit\Player\Footsteps_Start	
	734008916	Slidedown_Blood_Stop			\Default Work Unit\Environment Events\Slidedowns\Slidedown_Blood_Stop	
	894013704	Slidedown_Blood_Start			\Default Work Unit\Environment Events\Slidedowns\Slidedown_Blood_Start	
	1712046992	Fire_Start			\Default Work Unit\Environment Events\Fire_Start	
	1843177945	Slidedown_Gravel_Stop			\Default Work Unit\Environment Events\Slidedowns\Slidedown_Gravel_Stop	
	2139053889	Music_PlayBuild			\Default Work Unit\Music\Music_PlayBuild	
	2263603568	Plant_Rip			\Default Work Unit\Environment Events\Plant_Rip	
	3227181061	Music_Stop			\Default Work Unit\Music\Music_Stop	
	3247576578	Dagger_Attack			\Default Work Unit\Combat\Dagger_Attack	
	3312934011	Slidedown_Gravel_Start			\Default Work Unit\Environment Events\Slidedowns\Slidedown_Gravel_Start	
	3843002761	Dagger_Hit			\Default Work Unit\Combat\Dagger_Hit	
	4053997147	Music_PlayIntro			\Default Work Unit\Music\Music_PlayIntro	
	4187365685	Footsteps_Stop			\Default Work Unit\Player\Footsteps_Stop	

Switch Group	ID	Name			Wwise Object Path	Notes
	2835351336	GroundType			\Default Work Unit\GroundType	

Switch	ID	Name	Switch Group			Notes
	712897245	Mud	GroundType			
	1216965916	Stone	GroundType			
	2185786256	Gravel	GroundType			
	2187154135	Deep_Water	GroundType			
	2195636714	Dirt	GroundType			
	2654748154	Water	GroundType			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	4406611	rip_plant_02	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Events\rip_plant_02_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Events\plantRip\rip_plant_02		854768
	26647293	FS_Gravel_R2	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Footsteps\FS_Gravel_R2_404BBDCE.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootstepsSwitch\FS_Gravel\FS_Gravel_R\FS_Gravel_R2		77328
	55061894	tamtam_02	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\tamtam_02_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\musicSystem\Transitions\tamtamT_light\tamtam_02		780404
	69375323	intro_02	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\intro_02_4B8CC0C5.wem		\Interactive Music Hierarchy\Default Work Unit\musicSystem\Build\build_05_backtoIntro\intro_02\intro_02		7596288
	85376030	fireIgnite	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Events\ignite_fire_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Events\Fire\fireIgnite		336596
	86709244	FS_Stone_R3	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Footsteps\FS_Stone_R3_25FC5C14.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootstepsSwitch\FS_Stone\FS_Stone_R\FS_Stone_R3		52088
	117224947	dagger_stab_02	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Dagger\dagger_stab_02_20738036.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dagger\daggerStab\dagger_stab_02		46664
	119617613	dagger_stab_01	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Dagger\dagger_stab_01_20738036.wem		\Actor-Mixer Hierarchy\Default Work Unit\Dagger\daggerStab\dagger_stab_01		76668
	146199511	FS_Mud_L2	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Footsteps\FS_Mud_L2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootstepsSwitch\FS_Mud\FS_Mud_L\FS_Mud_L2		78792
	182131324	FS_Stone_L3	Y:\Repositories\eviscerate\eviscerate\Wwise\.cache\Mac\SFX\Footsteps\FS_Stone_L3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\FootstepsSwitch\FS_Stone\FS_Stone_L\FS_Stone_L3		52332
